Id,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm
W0348,NE,NNW,6,33,56,47,1020.9,1016,4,7,16.3,23.2
W0349,NNE,N,7,24,82,61,1019.2,1016.7,7,3,14.5,19.4
W0350,SSE,NNW,4,7,71,42,1022.3,1019.7,7,4,11.6,18.4
W0351,SW,NW,2,9,73,30,1025.7,1022.3,1,1,9.6,19.2
W0352,NA,NNW,0,26,73,34,1024.5,1020.7,6,1,11.6,21.9
W0353,N,NW,4,20,80,31,1025.7,1022.2,1,7,12.7,23.7
W0354,W,NW,2,26,66,30,1024.1,1019.8,1,6,16.8,27.4
W0355,SE,NW,6,31,60,20,1021.4,1017.5,1,1,16.4,26.3
W0356,S,SW,11,11,54,28,1022.3,1018.6,7,5,11.4,18.5
W0357,S,S,35,37,43,24,1023.4,1023.1,1,5,8.3,14.3
W0358,SSE,S,26,15,47,25,1026.6,1022.8,1,2,9.1,16.3
W0359,SSE,N,2,17,71,29,1023.2,1018.4,3,8,9.4,19.1
W0360,N,NNW,4,19,57,16,1018.8,1014.6,0,3,12,24.8
W0361,NA,WNW,0,19,45,20,1017.6,1014.2,5,8,16.3,25.9
W0362,SSE,NW,7,50,38,15,1016.1,1010.8,1,3,20.4,30
W0363,NNW,NNW,2,19,45,22,1020,1016.9,0,1,17.2,28.2
W0364,ENE,ENE,11,9,63,47,1024,1022.8,3,2,14.5,18.3
W0365,SSW,WNW,6,28,69,39,1021,1016.2,6,7,15.8,25.9
W0366,NW,WNW,31,35,43,13,1009.6,1009.2,1,1,23.8,28.6
W0001,SW,NW,6,20,68,29,1019.7,1015,7,7,14.4,23.6
W0002,E,W,4,17,80,36,1012.4,1008.4,5,3,17.5,25.7
W0003,N,NNE,6,6,82,69,1009.5,1007.2,8,7,15.4,20.2
W0004,WNW,W,30,24,62,56,1005.5,1007,2,7,13.5,14.1
W0005,SSE,ESE,20,28,68,49,1018.3,1018.5,7,7,11.1,15.4
W0006,SE,E,20,24,70,57,1023.8,1021.7,7,5,10.9,14.8
W0007,SE,ESE,19,26,63,47,1024.6,1022.2,4,6,12.4,17.3
W0008,SE,E,11,24,65,57,1026.2,1024.2,6,7,12.1,15.5
W0009,E,ENE,19,17,70,48,1026.1,1022.7,7,7,14.1,18.9
W0010,S,ESE,7,6,82,32,1024.1,1020.7,7,1,13.3,21.7
W0011,SE,NW,6,9,74,34,1024.4,1021.1,1,2,14.6,24
W0012,E,NW,2,15,54,35,1023.8,1019.9,0,3,16.8,26
W0013,S,NW,6,7,62,29,1022,1017.1,0,1,17,27.1
W0014,WNW,W,7,20,67,20,1017.3,1013.1,1,4,19.7,30.7
W0015,S,W,6,20,45,16,1018.2,1013.7,0,1,18.7,30.4
W0354,W,NW,2,26,66,30,1024.1,1019.8,1,6,16.8,27.4
W0355,SE,NW,6,31,60,20,1021.4,1017.5,1,1,16.4,26.3
W0356,S,SW,11,11,54,28,1022.3,1018.6,7,5,11.4,18.5
W0357,S,S,35,37,43,24,1023.4,1023.1,1,5,8.3,14.3
W0358,SSE,S,26,15,47,25,1026.6,1022.8,1,2,9.1,16.3
W0359,SSE,N,2,17,71,29,1023.2,1018.4,3,8,9.4,19.1
W0360,N,NNW,4,19,57,16,1018.8,1014.6,0,3,12,24.8
W0361,NA,WNW,0,19,45,20,1017.6,1014.2,5,8,16.3,25.9
W0362,SSE,NW,7,50,38,15,1016.1,1010.8,1,3,20.4,30
W0363,NNW,NNW,2,19,45,22,1020,1016.9,0,1,17.2,28.2
W0300,NA,WNW,0,26,77,23,1023.9,1020.3,5,7,4.8,15.8
W0301,SSE,SE,9,13,57,23,1027.7,1025.5,1,1,7.9,14.4
W0302,SE,NE,6,15,60,43,1029.9,1025.9,1,5,7.2,12.3
W0303,NA,ENE,0,20,74,45,1027.6,1022.9,7,6,7.3,14.6
W0304,SSW,WSW,4,6,81,45,1023.7,1017.5,7,8,6.2,15.4
W0305,NW,WNW,24,15,89,85,1011.2,1010.4,7,7,13.5,12.6
W0306,NW,W,20,28,60,34,1023.2,1021.7,1,1,8.8,14.3
W0307,ESE,NNE,2,13,69,44,1027,1024.8,1,4,9,14.9
W0308,SE,SE,17,20,69,51,1033.6,1033.2,7,5,9.3,11.1
W0309,SE,ESE,11,17,65,61,1035.7,1031.9,7,7,8.3,10.2
W0310,SSE,ESE,13,13,79,73,1027.3,1023.5,8,8,8.7,10.8
W0311,S,S,19,24,63,33,1019.7,1016.2,7,7,10,15.7
W0312,WNW,NW,7,22,84,33,1018.1,1013.9,7,7,6.4,15.5
W0313,NA,WNW,0,11,79,37,1020.6,1018.2,1,1,7.2,15.3
W0314,SE,N,9,22,53,25,1025.8,1020.9,0,0,5.5,13.4
